dataset,cluster,model,selection_method,opt_metric,n_features_selected,features_percent,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
kr-vs-kp,C0,DT,random_2,log_loss,10,0.3,0.6380835418759259,0.016709436329798516,0.637358934169279,0.017246712116797444
kr-vs-kp,C0,DT,random_3,log_loss,3,0.1,0.6749531058365197,0.029665148991612354,0.6605260579937304,0.03083304123824803
kr-vs-kp,C0,DT,random_3,log_loss,7,0.2,0.7100831295867489,0.026103367048664256,0.7155926724137931,0.025209352312877506
kr-vs-kp,C0,DT,random_3,log_loss,10,0.3,0.6954361022567992,0.03286623213128322,0.6899147727272728,0.03276648064526085
kr-vs-kp,C0,DT,random_4,log_loss,3,0.1,0.6127079209107615,0.021190392513580854,0.6239175156739811,0.0213532584162004
kr-vs-kp,C0,DT,random_4,log_loss,7,0.2,0.7862641499921315,0.022928072254689128,0.785676920062696,0.02335067063654901
kr-vs-kp,C0,DT,random_4,log_loss,10,0.3,0.7024286660803749,0.04077894729131364,0.6983855799373041,0.041533864634476704
kr-vs-kp,C0,KNN,attention,log_loss,3,0.1,0.7432555039559683,0.019743534099864183,0.7546835815047022,0.018541580306874063
kr-vs-kp,C0,KNN,attention,log_loss,7,0.2,0.7683354781664741,0.026759235206667446,0.7784580721003135,0.02523404488689748
kr-vs-kp,C0,KNN,attention,log_loss,10,0.3,0.8098316138620592,0.03018680837194247,0.8178800940438873,0.028503654815432888
kr-vs-kp,C0,KNN,decision_tree,log_loss,3,0.1,0.7432555039559683,0.019743534099864183,0.7546835815047022,0.018541580306874063
kr-vs-kp,C0,KNN,decision_tree,log_loss,7,0.2,0.7945099223637349,0.019394439392503706,0.8034952978056425,0.01835608132954871
kr-vs-kp,C0,KNN,decision_tree,log_loss,10,0.3,0.8492683235180826,0.01816875598798194,0.8557464733542319,0.01727777325774122
kr-vs-kp,C0,KNN,f_classif,log_loss,3,0.1,0.7432555039559683,0.019743534099864183,0.7546835815047022,0.018541580306874063
kr-vs-kp,C0,KNN,f_classif,log_loss,7,0.2,0.8370081431564117,0.015590196726057451,0.844173197492163,0.014878528308430906
kr-vs-kp,C0,KNN,f_classif,log_loss,10,0.3,0.8688858737633092,0.0135686149771654,0.8745297805642632,0.01305805364516534
kr-vs-kp,C0,KNN,linear_model,log_loss,3,0.1,0.7432555039559683,0.019743534099864183,0.7546835815047022,0.018541580306874063
